ticker,date,vec_score,live_score,delta,base_score,base_vs_vec_delta
TEST.IS,2023-02-06,-3.8,-3.8,0.0,6.0,-9.8
TEST.IS,2023-02-07,37.0,37.0,0.0,37.0,0.0
TEST.IS,2023-02-08,51.0,51.0,0.0,51.0,0.0
TEST.IS,2023-02-09,31.6,31.6,0.0,26.0,5.6
TEST.IS,2023-02-10,18.4,18.4,0.0,3.0,15.4
TEST.IS,2023-02-11,20.0,20.0,0.0,4.0,16.0
TEST.IS,2023-02-12,12.2,12.2,0.0,-6.0,18.2
TEST.IS,2023-02-13,12.2,12.2,0.0,-6.0,18.2
TEST.IS,2023-02-14,10.4,10.4,0.0,-12.0,22.4
TEST.IS,2023-02-15,10.4,10.4,0.0,-12.0,22.4
TEST.IS,2023-02-16,10.4,10.4,0.0,-12.0,22.4
TEST.IS,2023-02-17,15.4,15.4,0.0,-7.0,22.4
TEST.IS,2023-02-18,9.4,9.4,0.0,-13.0,22.4
TEST.IS,2023-02-19,9.4,9.4,0.0,-13.0,22.4
TEST.IS,2023-02-20,7.4,7.4,0.0,-15.0,22.4
TEST.IS,2023-02-21,7.4,7.4,0.0,-15.0,22.4
TEST.IS,2023-02-22,4.1,4.1,0.0,-26.0,30.1
TEST.IS,2023-02-23,6.5,6.5,0.0,-18.0,24.5
TEST.IS,2023-02-24,6.5,6.5,0.0,-18.0,24.5
TEST.IS,2023-02-25,6.5,6.5,0.0,-18.0,24.5
TEST.IS,2023-02-26,7.7,7.7,0.0,-14.0,21.7
TEST.IS,2023-02-27,12.7,12.7,0.0,-9.0,21.7
TEST.IS,2023-02-28,-0.5,-0.5,0.0,-18.0,17.5
TEST.IS,2023-03-01,5.5,5.5,0.0,-12.0,17.5
TEST.IS,2023-03-02,5.5,5.5,0.0,-12.0,17.5
TEST.IS,2023-03-03,-14.5,-14.5,0.0,-32.0,17.5
TEST.IS,2023-03-04,-12.1,-12.1,0.0,-24.0,11.9
TEST.IS,2023-03-05,9.9,9.9,0.0,5.0,4.9
TEST.IS,2023-03-06,12.0,12.0,0.0,12.0,0.0
TEST.IS,2023-03-07,8.0,8.0,0.0,8.0,0.0
TEST.IS,2023-03-08,0.0,0.0,0.0,24.0,-24.0
TEST.IS,2023-03-09,0.0,0.0,0.0,15.0,-15.0
TEST.IS,2023-03-10,0.0,0.0,0.0,26.0,-26.0
TEST.IS,2023-03-11,7.8,7.8,0.0,26.0,-18.2
TEST.IS,2023-03-12,7.8,7.8,0.0,26.0,-18.2
TEST.IS,2023-03-13,2.8,2.8,0.0,21.0,-18.2
TEST.IS,2023-03-14,4.8,4.8,0.0,23.0,-18.2
TEST.IS,2023-03-15,-5.2,-5.2,0.0,13.0,-18.2
TEST.IS,2023-03-16,8.1,8.1,0.0,34.0,-25.9
TEST.IS,2023-03-17,5.7,5.7,0.0,26.0,-20.3
TEST.IS,2023-03-18,4.5,4.5,0.0,22.0,-17.5
TEST.IS,2023-03-19,-0.5,-0.5,0.0,17.0,-17.5
TEST.IS,2023-03-20,-0.5,-0.5,0.0,17.0,-17.5
TEST.IS,2023-03-21,-1.4,-1.4,0.0,14.0,-15.4
TEST.IS,2023-03-22,0.0,0.0,0.0,6.0,-6.0
TEST.IS,2023-03-23,22.2,22.2,0.0,37.0,-14.8
TEST.IS,2023-03-24,51.0,51.0,0.0,51.0,0.0
TEST.IS,2023-03-25,31.6,31.6,0.0,26.0,5.6
TEST.IS,2023-03-26,22.4,22.4,0.0,7.0,15.4
TEST.IS,2023-03-27,6.2,6.2,0.0,-12.0,18.2
TEST.IS,2023-03-28,6.2,6.2,0.0,-12.0,18.2
TEST.IS,2023-03-29,6.2,6.2,0.0,-12.0,18.2
TEST.IS,2023-03-30,4.4,4.4,0.0,-18.0,22.4
TEST.IS,2023-03-31,4.4,4.4,0.0,-18.0,22.4
TEST.IS,2023-04-01,4.4,4.4,0.0,-18.0,22.4
TEST.IS,2023-04-02,9.4,9.4,0.0,-13.0,22.4
TEST.IS,2023-04-03,9.4,9.4,0.0,-13.0,22.4
TEST.IS,2023-04-04,9.4,9.4,0.0,-13.0,22.4
TEST.IS,2023-04-05,7.4,7.4,0.0,-15.0,22.4
TEST.IS,2023-04-06,7.4,7.4,0.0,-15.0,22.4
TEST.IS,2023-04-07,4.1,4.1,0.0,-26.0,30.1
TEST.IS,2023-04-08,6.5,6.5,0.0,-18.0,24.5
TEST.IS,2023-04-09,6.5,6.5,0.0,-18.0,24.5
TEST.IS,2023-04-10,6.5,6.5,0.0,-18.0,24.5
TEST.IS,2023-04-11,7.7,7.7,0.0,-14.0,21.7
TEST.IS,2023-04-12,12.7,12.7,0.0,-9.0,21.7
TEST.IS,2023-04-13,-0.5,-0.5,0.0,-18.0,17.5
TEST.IS,2023-04-14,-0.5,-0.5,0.0,-18.0,17.5
TEST.IS,2023-04-15,-14.5,-14.5,0.0,-32.0,17.5
TEST.IS,2023-04-16,-14.5,-14.5,0.0,-32.0,17.5
TEST.IS,2023-04-17,14.9,14.9,0.0,3.0,11.9
TEST.IS,2023-04-18,9.9,9.9,0.0,5.0,4.9
TEST.IS,2023-04-19,12.0,12.0,0.0,12.0,0.0
TEST.IS,2023-04-20,8.0,8.0,0.0,8.0,0.0
TEST.IS,2023-04-21,0.0,0.0,0.0,29.0,-29.0
TEST.IS,2023-04-22,0.0,0.0,0.0,15.0,-15.0
TEST.IS,2023-04-23,0.0,0.0,0.0,26.0,-26.0
TEST.IS,2023-04-24,7.8,7.8,0.0,26.0,-18.2
TEST.IS,2023-04-25,7.8,7.8,0.0,26.0,-18.2
TEST.IS,2023-04-26,2.8,2.8,0.0,21.0,-18.2
TEST.IS,2023-04-27,4.8,4.8,0.0,23.0,-18.2
TEST.IS,2023-04-28,-5.2,-5.2,0.0,13.0,-18.2
TEST.IS,2023-04-29,8.1,8.1,0.0,34.0,-25.9
TEST.IS,2023-04-30,5.7,5.7,0.0,26.0,-20.3
TEST.IS,2023-05-01,4.5,4.5,0.0,22.0,-17.5
TEST.IS,2023-05-02,-0.5,-0.5,0.0,17.0,-17.5
TEST.IS,2023-05-03,-0.5,-0.5,0.0,17.0,-17.5
TEST.IS,2023-05-04,-1.4,-1.4,0.0,14.0,-15.4
TEST.IS,2023-05-05,0.0,0.0,0.0,6.0,-6.0
TEST.IS,2023-05-06,22.2,22.2,0.0,37.0,-14.8
TEST.IS,2023-05-07,51.0,51.0,0.0,51.0,0.0
TEST.IS,2023-05-08,31.6,31.6,0.0,26.0,5.6
TEST.IS,2023-05-09,22.4,22.4,0.0,7.0,15.4
TEST.IS,2023-05-10,6.2,6.2,0.0,-12.0,18.2
TEST.IS,2023-05-11,6.2,6.2,0.0,-12.0,18.2
TEST.IS,2023-05-12,6.2,6.2,0.0,-12.0,18.2
TEST.IS,2023-05-13,4.4,4.4,0.0,-18.0,22.4
TEST.IS,2023-05-14,4.4,4.4,0.0,-18.0,22.4
TEST.IS,2023-05-15,4.4,4.4,0.0,-18.0,22.4
TEST.IS,2023-05-16,9.4,9.4,0.0,-13.0,22.4
TEST.IS,2023-05-17,9.4,9.4,0.0,-13.0,22.4
TEST.IS,2023-05-18,9.4,9.4,0.0,-13.0,22.4
TEST.IS,2023-05-19,7.4,7.4,0.0,-15.0,22.4
TEST.IS,2023-05-20,7.4,7.4,0.0,-15.0,22.4
TEST.IS,2023-05-21,4.1,4.1,0.0,-26.0,30.1
TEST.IS,2023-05-22,6.5,6.5,0.0,-18.0,24.5
TEST.IS,2023-05-23,6.5,6.5,0.0,-18.0,24.5
TEST.IS,2023-05-24,6.5,6.5,0.0,-18.0,24.5
TEST.IS,2023-05-25,7.7,7.7,0.0,-14.0,21.7
TEST.IS,2023-05-26,12.7,12.7,0.0,-9.0,21.7
TEST.IS,2023-05-27,-0.5,-0.5,0.0,-18.0,17.5
TEST.IS,2023-05-28,-0.5,-0.5,0.0,-18.0,17.5
TEST.IS,2023-05-29,-14.5,-14.5,0.0,-32.0,17.5
TEST.IS,2023-05-30,-14.5,-14.5,0.0,-32.0,17.5
TEST.IS,2023-05-31,14.9,14.9,0.0,3.0,11.9
TEST.IS,2023-06-01,9.9,9.9,0.0,5.0,4.9
TEST.IS,2023-06-02,12.0,12.0,0.0,12.0,0.0
TEST.IS,2023-06-03,8.0,8.0,0.0,8.0,0.0
TEST.IS,2023-06-04,0.0,0.0,0.0,29.0,-29.0
TEST.IS,2023-06-05,0.0,0.0,0.0,15.0,-15.0
TEST.IS,2023-06-06,0.0,0.0,0.0,26.0,-26.0
TEST.IS,2023-06-07,7.8,7.8,0.0,26.0,-18.2
TEST.IS,2023-06-08,7.8,7.8,0.0,26.0,-18.2
TEST.IS,2023-06-09,2.8,2.8,0.0,21.0,-18.2
TEST.IS,2023-06-10,4.8,4.8,0.0,23.0,-18.2
TEST.IS,2023-06-11,-5.2,-5.2,0.0,13.0,-18.2
TEST.IS,2023-06-12,8.1,8.1,0.0,34.0,-25.9
TEST.IS,2023-06-13,5.7,5.7,0.0,26.0,-20.3
TEST.IS,2023-06-14,4.5,4.5,0.0,22.0,-17.5
TEST.IS,2023-06-15,-0.5,-0.5,0.0,17.0,-17.5
TEST.IS,2023-06-16,-0.5,-0.5,0.0,17.0,-17.5
TEST.IS,2023-06-17,-1.4,-1.4,0.0,14.0,-15.4
TEST.IS,2023-06-18,0.0,0.0,0.0,6.0,-6.0
TEST.IS,2023-06-19,22.2,22.2,0.0,37.0,-14.8
TEST.IS,2023-06-20,51.0,51.0,0.0,51.0,0.0
TEST.IS,2023-06-21,31.6,31.6,0.0,26.0,5.6
TEST.IS,2023-06-22,22.4,22.4,0.0,7.0,15.4
TEST.IS,2023-06-23,6.2,6.2,0.0,-12.0,18.2
TEST.IS,2023-06-24,6.2,6.2,0.0,-12.0,18.2
TEST.IS,2023-06-25,6.2,6.2,0.0,-12.0,18.2
TEST.IS,2023-06-26,4.4,4.4,0.0,-18.0,22.4
TEST.IS,2023-06-27,4.4,4.4,0.0,-18.0,22.4
TEST.IS,2023-06-28,4.4,4.4,0.0,-18.0,22.4
TEST.IS,2023-06-29,9.4,9.4,0.0,-13.0,22.4
TEST.IS,2023-06-30,9.4,9.4,0.0,-13.0,22.4
TEST.IS,2023-07-01,9.4,9.4,0.0,-13.0,22.4
TEST.IS,2023-07-02,7.4,7.4,0.0,-15.0,22.4
TEST.IS,2023-07-03,7.4,7.4,0.0,-15.0,22.4
TEST.IS,2023-07-04,4.1,4.1,0.0,-26.0,30.1
TEST.IS,2023-07-05,6.5,6.5,0.0,-18.0,24.5
TEST.IS,2023-07-06,6.5,6.5,0.0,-18.0,24.5
TEST.IS,2023-07-07,6.5,6.5,0.0,-18.0,24.5
TEST.IS,2023-07-08,7.7,7.7,0.0,-14.0,21.7
TEST.IS,2023-07-09,12.7,12.7,0.0,-9.0,21.7
TEST.IS,2023-07-10,-0.5,-0.5,0.0,-18.0,17.5
TEST.IS,2023-07-11,-0.5,-0.5,0.0,-18.0,17.5
TEST.IS,2023-07-12,-20.5,-20.5,0.0,-38.0,17.5
TEST.IS,2023-07-13,-14.5,-14.5,0.0,-32.0,17.5
TEST.IS,2023-07-14,14.9,14.9,0.0,3.0,11.9
TEST.IS,2023-07-15,9.9,9.9,0.0,5.0,4.9
TEST.IS,2023-07-16,12.0,12.0,0.0,12.0,0.0
TEST.IS,2023-07-17,8.0,8.0,0.0,8.0,0.0
TEST.IS,2023-07-18,0.0,0.0,0.0,29.0,-29.0
TEST.IS,2023-07-19,0.0,0.0,0.0,15.0,-15.0
TEST.IS,2023-07-20,0.0,0.0,0.0,26.0,-26.0
TEST.IS,2023-07-21,7.8,7.8,0.0,26.0,-18.2
TEST.IS,2023-07-22,7.8,7.8,0.0,26.0,-18.2
TEST.IS,2023-07-23,2.8,2.8,0.0,21.0,-18.2
TEST.IS,2023-07-24,4.8,4.8,0.0,23.0,-18.2
TEST.IS,2023-07-25,-5.2,-5.2,0.0,13.0,-18.2
TEST.IS,2023-07-26,8.1,8.1,0.0,34.0,-25.9
TEST.IS,2023-07-27,5.7,5.7,0.0,26.0,-20.3
TEST.IS,2023-07-28,4.5,4.5,0.0,22.0,-17.5
TEST.IS,2023-07-29,-0.5,-0.5,0.0,17.0,-17.5
TEST.IS,2023-07-30,-0.5,-0.5,0.0,17.0,-17.5
TEST.IS,2023-07-31,-2.6,-2.6,0.0,10.0,-12.6
TEST.IS,2023-08-01,0.0,0.0,0.0,6.0,-6.0
TEST.IS,2023-08-02,22.2,22.2,0.0,37.0,-14.8
TEST.IS,2023-08-03,51.0,51.0,0.0,51.0,0.0
TEST.IS,2023-08-04,31.6,31.6,0.0,26.0,5.6
TEST.IS,2023-08-05,22.4,22.4,0.0,7.0,15.4
TEST.IS,2023-08-06,6.2,6.2,0.0,-12.0,18.2
TEST.IS,2023-08-07,6.2,6.2,0.0,-12.0,18.2
TEST.IS,2023-08-08,6.2,6.2,0.0,-12.0,18.2
TEST.IS,2023-08-09,4.4,4.4,0.0,-18.0,22.4
TEST.IS,2023-08-10,4.4,4.4,0.0,-18.0,22.4
TEST.IS,2023-08-11,4.4,4.4,0.0,-18.0,22.4
TEST.IS,2023-08-12,9.4,9.4,0.0,-13.0,22.4
TEST.IS,2023-08-13,9.4,9.4,0.0,-13.0,22.4
TEST.IS,2023-08-14,9.4,9.4,0.0,-13.0,22.4
TEST.IS,2023-08-15,7.4,7.4,0.0,-15.0,22.4
TEST.IS,2023-08-16,7.4,7.4,0.0,-15.0,22.4
TEST.IS,2023-08-17,4.1,4.1,0.0,-26.0,30.1
TEST.IS,2023-08-18,6.5,6.5,0.0,-18.0,24.5
TEST.IS,2023-08-19,6.5,6.5,0.0,-18.0,24.5
TEST.IS,2023-08-20,6.5,6.5,0.0,-18.0,24.5
TEST.IS,2023-08-21,7.7,7.7,0.0,-14.0,21.7
TEST.IS,2023-08-22,12.7,12.7,0.0,-9.0,21.7
TEST.IS,2023-08-23,-0.5,-0.5,0.0,-18.0,17.5
TEST.IS,2023-08-24,-0.5,-0.5,0.0,-18.0,17.5
TEST.IS,2023-08-25,-20.5,-20.5,0.0,-38.0,17.5
TEST.IS,2023-08-26,-14.5,-14.5,0.0,-32.0,17.5
TEST.IS,2023-08-27,14.9,14.9,0.0,3.0,11.9
TEST.IS,2023-08-28,9.9,9.9,0.0,5.0,4.9
TEST.IS,2023-08-29,12.0,12.0,0.0,12.0,0.0
TEST.IS,2023-08-30,8.0,8.0,0.0,8.0,0.0
TEST.IS,2023-08-31,0.0,0.0,0.0,29.0,-29.0
TEST.IS,2023-09-01,0.0,0.0,0.0,15.0,-15.0
TEST.IS,2023-09-02,0.0,0.0,0.0,26.0,-26.0
TEST.IS,2023-09-03,7.8,7.8,0.0,26.0,-18.2
TEST.IS,2023-09-04,7.8,7.8,0.0,26.0,-18.2
TEST.IS,2023-09-05,2.8,2.8,0.0,21.0,-18.2
TEST.IS,2023-09-06,4.8,4.8,0.0,23.0,-18.2
TEST.IS,2023-09-07,-5.2,-5.2,0.0,13.0,-18.2
TEST.IS,2023-09-08,8.1,8.1,0.0,34.0,-25.9
TEST.IS,2023-09-09,5.7,5.7,0.0,26.0,-20.3
TEST.IS,2023-09-10,4.5,4.5,0.0,22.0,-17.5
TEST.IS,2023-09-11,-0.5,-0.5,0.0,17.0,-17.5
TEST.IS,2023-09-12,-0.5,-0.5,0.0,17.0,-17.5
TEST.IS,2023-09-13,-2.6,-2.6,0.0,10.0,-12.6
TEST.IS,2023-09-14,0.0,0.0,0.0,6.0,-6.0
TEST.IS,2023-09-15,22.2,22.2,0.0,37.0,-14.8
TEST.IS,2023-09-16,51.0,51.0,0.0,51.0,0.0
TEST.IS,2023-09-17,31.6,31.6,0.0,26.0,5.6
